Name,Username,Platform,Profile URL,Followers,Engagement Rate (%),Niche,Content Themes,Audience Age,Audience Gender,Audience Geography,Verified,Discovery Method,Status
Aisha Thomas,the.aisha.world,Instagram,https://instagram.com/the.aisha.world,8030,4.69,Fashion,Designer dupes | Capsule wardrobe | Accessory styling,18-24,"60% Female, 40% Male",United States,False,hashtag_search: #style,Discovered
Liam Rossi,the.liam.world,YouTube,https://youtube.com/@the.liam.world,48909,3.74,Fashion,Accessory styling | OOTD posts | Vintage finds,18-24,"50% Female, 50% Male",Global,False,hashtag_search: #style,Discovered
Sarah Anderson,sarah388,YouTube,https://youtube.com/@sarah388,41397,2.24,Fashion,Seasonal trends | Vintage finds | Thrift hauls,18-24,"60% Female, 40% Male",Asia Pacific,False,hashtag_search: #streetstyle,Discovered
Ethan Patel,ethan.blogs,YouTube,https://youtube.com/@ethan.blogs,63739,2.27,Fashion,Vintage finds | Accessory styling | Budget fashion,25-44,"65% Male, 35% Female",France,False,hashtag_search: #fashion,Discovered
William Scott,williamxxdaily,YouTube,https://youtube.com/@williamxxdaily,52359,1.94,Fashion,Accessory styling | Streetwear | Seasonal trends,25-34,"65% Male, 35% Female",Australia,True,hashtag_search: #fashion,Discovered
Liam Kim,liamxdaily,YouTube,https://youtube.com/@liamxdaily,32126,4.9,Fashion,Accessory styling | Budget fashion | Thrift hauls,18-34,"50% Female, 50% Male",Canada,False,hashtag_search: #streetstyle,Discovered
Zara Clark,the.zara.world,YouTube,https://youtube.com/@the.zara.world,22014,3.58,Fashion,Thrift hauls | Capsule wardrobe | OOTD posts,25-34,"55% Male, 45% Female",Asia Pacific,False,hashtag_search: #style,Discovered
Oliver Williams,oliver.lifestyle,YouTube,https://youtube.com/@oliver.lifestyle,11527,6.31,Fashion,Streetwear | Seasonal trends | Budget fashion,25-44,"55% Male, 45% Female",Europe,False,hashtag_search: #fashion,Discovered
Mateo Miller,mateo538,TikTok,https://tiktok.com/@mateo538,34460,3.46,Fashion,OOTD posts | Sustainable fashion | Accessory styling,25-44,"55% Male, 45% Female",South Korea,False,hashtag_search: #style,Discovered
Sarah Rodriguez,the.sarah.world,TikTok,https://tiktok.com/@the.sarah.world,11374,5.91,Fashion,Budget fashion | Streetwear | Sustainable fashion,25-34,"65% Male, 35% Female",Asia Pacific,False,hashtag_search: #style,Discovered
Zara Brown,zara_official,TikTok,https://tiktok.com/@zara_official,5001,6.54,Fashion,Accessory styling | OOTD posts | Vintage finds,18-34,"55% Male, 45% Female",Europe,False,hashtag_search: #fashion,Discovered
Mia Davis,mia_official,TikTok,https://tiktok.com/@mia_official,31971,3.03,Fashion,Designer dupes | Seasonal trends | Sustainable fashion,18-34,"55% Male, 45% Female",Canada,False,hashtag_search: #streetstyle,Discovered
Leo Rossi,leo.shares,TikTok,https://tiktok.com/@leo.shares,9542,6.84,Fashion,Streetwear | Sustainable fashion | Thrift hauls,35-44,"65% Male, 35% Female",Asia Pacific,False,hashtag_search: #streetstyle,Discovered
Elijah Young,elijahxxlife,TikTok,https://tiktok.com/@elijahxxlife,83720,2.9,Fashion,Sustainable fashion | Thrift hauls | OOTD posts,25-44,"60% Female, 40% Male",United Kingdom,False,hashtag_search: #fashion,Discovered
Harper Moore,harperxxlife,TikTok,https://tiktok.com/@harperxxlife,7703,7.66,Fashion,Sustainable fashion | Streetwear | Designer dupes,18-34,"50% Female, 50% Male",Europe,False,hashtag_search: #fashionblogger,Discovered
Noah Anderson,noah.shares,TikTok,https://tiktok.com/@noah.shares,8154,6.29,Fashion,Thrift hauls | Streetwear | Seasonal trends,25-44,"50% Female, 50% Male",Indonesia,False,hashtag_search: #fashionblogger,Discovered
Sofia Fernandez,sofiaxofficial,TikTok,https://tiktok.com/@sofiaxofficial,60264,2.87,Fashion,Sustainable fashion | Accessory styling | Vintage finds,25-44,"65% Male, 35% Female",Nigeria,True,hashtag_search: #streetstyle,Discovered
Yuki Rossi,yuki118,TikTok,https://tiktok.com/@yuki118,5651,7.76,Fashion,Vintage finds | Budget fashion | Streetwear,18-24,"55% Male, 45% Female",France,True,hashtag_search: #fashion,Discovered
Mia Young,mia_life,TikTok,https://tiktok.com/@mia_life,98874,2.15,Fashion,Budget fashion | OOTD posts | Sustainable fashion,25-34,"60% Female, 40% Male",Europe,False,hashtag_search: #fashion,Discovered
Caleb Martinez,caleb_life,TikTok,https://tiktok.com/@caleb_life,64150,1.76,Fashion,Seasonal trends | Designer dupes | Vintage finds,25-34,"50% Female, 50% Male",Indonesia,False,hashtag_search: #fashion,Discovered
Leo Thomas,leo.blogs,TikTok,https://tiktok.com/@leo.blogs,15515,6.52,Fashion,Capsule wardrobe | Seasonal trends | Thrift hauls,18-24,"70% Female, 30% Male",Germany,False,hashtag_search: #fashion,Discovered
Olivia Lee,olivia_life,TikTok,https://tiktok.com/@olivia_life,65376,3.43,Fashion,Designer dupes | Accessory styling | OOTD posts,18-24,"70% Female, 30% Male",Japan,False,hashtag_search: #style,Discovered
Alexander Nguyen,alexander.blogs,TikTok,https://tiktok.com/@alexander.blogs,28328,4.0,Fashion,Budget fashion | Seasonal trends | Streetwear,18-24,"50% Female, 50% Male",United States,False,hashtag_search: #style,Discovered
Sebastian Scott,sebastian_world,Instagram,https://instagram.com/sebastian_world,77380,2.38,Fashion,Streetwear | Capsule wardrobe | Designer dupes,18-24,"70% Female, 30% Male",Mexico,False,directory: Grin,Discovered
Noah Harris,noah_life,Instagram,https://instagram.com/noah_life,13434,4.67,Fashion,Sustainable fashion | Thrift hauls | Vintage finds,25-44,"65% Male, 35% Female",Asia Pacific,True,directory: Upfluence,Discovered
Olivia Williams,olivia.lifestyle,Instagram,https://instagram.com/olivia.lifestyle,76271,3.29,Fashion,Sustainable fashion | Seasonal trends | Budget fashion,18-24,"65% Male, 35% Female",South Korea,False,directory: Aspire,Discovered
Sarah Jackson,sarah.creates,Instagram,https://instagram.com/sarah.creates,76796,2.14,Fashion,Sustainable fashion | Vintage finds | Capsule wardrobe,18-34,"60% Female, 40% Male",Germany,False,directory: Heepsy,Discovered
Oliver Jones,oliver389,Instagram,https://instagram.com/oliver389,7672,7.45,Fashion,Capsule wardrobe | Sustainable fashion | Designer dupes,25-44,"65% Male, 35% Female",Australia,False,directory: Upfluence,Discovered
Leila Jones,leila971,Instagram,https://instagram.com/leila971,11127,6.54,Fashion,Streetwear | Budget fashion | Vintage finds,25-34,"70% Female, 30% Male",South Korea,False,directory: Collabstr,Discovered
James Scott,james_daily,Instagram,https://instagram.com/james_daily,82717,2.74,Fashion,Capsule wardrobe | Designer dupes | Seasonal trends,18-24,"70% Female, 30% Male",South Korea,False,directory: Heepsy,Discovered
Charlotte Rodriguez,the.charlotte.space,Instagram,https://instagram.com/the.charlotte.space,94393,2.27,Fashion,Accessory styling | Vintage finds | Capsule wardrobe,25-34,"60% Female, 40% Male",Mexico,True,directory: Aspire,Discovered
Amelia Martinez,amelia_vibes,Instagram,https://instagram.com/amelia_vibes,23556,3.73,Fashion,Designer dupes | Streetwear | Sustainable fashion,25-44,"55% Male, 45% Female",United States,False,directory: Upfluence,Discovered
Ethan Harris,ethan_vibes,Instagram,https://instagram.com/ethan_vibes,8425,4.57,Fashion,Seasonal trends | Budget fashion | Capsule wardrobe,25-44,"55% Male, 45% Female",United Kingdom,False,directory: Grin,Discovered
